Date,Actual,Predicted,Correct
2018-01-31,NO CHANGE,HIKE,False
2018-03-21,HIKE,NO CHANGE,False
2018-05-02,NO CHANGE,NO CHANGE,True
2018-06-13,HIKE,NO CHANGE,False
2018-08-01,NO CHANGE,NO CHANGE,True
2018-09-26,HIKE,NO CHANGE,False
2018-11-08,NO CHANGE,NO CHANGE,True
2018-12-19,HIKE,NO CHANGE,False
2019-01-30,NO CHANGE,NO CHANGE,True
2019-03-20,NO CHANGE,NO CHANGE,True
2019-05-01,NO CHANGE,NO CHANGE,True
2019-06-19,NO CHANGE,NO CHANGE,True
2019-07-31,CUT,NO CHANGE,False
2019-09-18,CUT,NO CHANGE,False
2019-10-30,CUT,NO CHANGE,False
2019-12-11,NO CHANGE,NO CHANGE,True
2020-01-29,NO CHANGE,NO CHANGE,True
2020-03-03,CUT,NO CHANGE,False
2020-03-15,CUT,NO CHANGE,False
2020-04-29,NO CHANGE,NO CHANGE,True
2020-06-10,NO CHANGE,NO CHANGE,True
2020-07-29,NO CHANGE,NO CHANGE,True
2020-09-16,NO CHANGE,NO CHANGE,True
2020-11-05,NO CHANGE,NO CHANGE,True
2020-12-16,NO CHANGE,NO CHANGE,True
2021-01-27,NO CHANGE,NO CHANGE,True
2021-03-17,NO CHANGE,NO CHANGE,True
2021-04-28,NO CHANGE,NO CHANGE,True
2021-06-16,NO CHANGE,NO CHANGE,True
2021-07-28,NO CHANGE,NO CHANGE,True
2021-09-22,NO CHANGE,NO CHANGE,True
2021-11-03,NO CHANGE,NO CHANGE,True
2021-12-15,NO CHANGE,NO CHANGE,True
2022-01-26,NO CHANGE,NO CHANGE,True
2022-03-16,HIKE,NO CHANGE,False
2022-05-04,HIKE,HIKE,True
2022-06-15,HIKE,HIKE,True
2022-07-27,HIKE,HIKE,True
2022-09-21,HIKE,HIKE,True
2022-11-02,HIKE,HIKE,True
2022-12-14,HIKE,HIKE,True
2023-02-01,HIKE,NO CHANGE,False
2023-03-22,HIKE,HIKE,True
2023-05-03,HIKE,HIKE,True
2023-06-14,NO CHANGE,HIKE,False
2023-07-26,HIKE,NO CHANGE,False
2023-09-20,NO CHANGE,NO CHANGE,True
2023-11-01,NO CHANGE,NO CHANGE,True
2023-12-13,NO CHANGE,NO CHANGE,True
2024-01-31,NO CHANGE,NO CHANGE,True
2024-03-20,NO CHANGE,NO CHANGE,True
2024-05-01,NO CHANGE,NO CHANGE,True
2024-06-12,NO CHANGE,NO CHANGE,True
2024-07-31,NO CHANGE,NO CHANGE,True
2024-09-18,CUT,NO CHANGE,False
2024-11-07,CUT,NO CHANGE,False
2024-12-18,CUT,NO CHANGE,False
2025-01-29,NO CHANGE,NO CHANGE,True
2025-03-19,NO CHANGE,NO CHANGE,True
