Date,pmi,pmi_QoQ
1994-03-31,56.9,2.338129496402863
1994-06-30,58.8,3.3391915641476144
1994-09-30,59.0,0.3401360544217802
1994-12-31,56.1,-4.915254237288136
1995-03-31,52.1,-7.1301247771836
1995-06-30,45.9,-11.900191938579663
1995-09-30,48.1,4.793028322440085
1995-12-31,46.2,-3.9501039501039448
1996-03-31,46.9,1.5151515151515138
1996-06-30,53.6,14.285714285714302
1996-09-30,51.1,-4.664179104477617
1996-12-31,55.2,8.023483365949113
1997-03-31,53.8,-2.5362318840579823
1997-06-30,54.9,2.0446096654275214
1997-09-30,53.9,-1.821493624772308
1997-12-31,54.5,1.1131725417439675
1998-03-31,52.9,-2.9357798165137616
1998-06-30,48.9,-7.5614366729678695
1998-09-30,48.7,-0.4089979550102152
1998-12-31,46.8,-3.901437371663252
1999-03-31,52.4,11.965811965811968
1999-06-30,55.8,6.488549618320616
1999-09-30,57.0,2.1505376344086002
1999-12-31,57.8,1.403508771929829
2000-03-31,54.9,-5.017301038062283
2000-06-30,51.4,-6.3752276867031
2000-09-30,49.7,-3.3073929961089377
2000-12-31,43.9,-11.670020120724356
2001-03-31,43.1,-1.8223234624145768
2001-06-30,43.2,0.23201856148491462
2001-09-30,46.2,6.944444444444442
2001-12-31,45.3,-1.9480519480519654
2002-03-31,52.4,15.673289183222971
2002-06-30,53.6,2.2900763358778775
2002-09-30,50.5,-5.783582089552242
2002-12-31,51.6,2.17821782178218
2003-03-31,46.3,-10.271317829457372
2003-06-30,49.0,5.831533477321815
2003-09-30,52.4,6.938775510204076
2003-12-31,60.1,14.694656488549619
2004-03-31,60.6,0.8319467554076532
2004-06-30,60.5,-0.16501650165017256
2004-09-30,57.4,-5.123966942148761
2004-12-31,57.2,-0.34843205574912606
2005-03-31,55.2,-3.4965034965035002
2005-06-30,52.4,-5.072463768115954
2005-09-30,56.8,8.3969465648855
2005-12-31,55.1,-2.9929577464788637
2006-03-31,54.3,-1.4519056261343088
2006-06-30,52.0,-4.23572744014733
2006-09-30,52.2,0.38461538461538325
2006-12-31,51.4,-1.532567049808442
2007-03-31,52.8,2.7237354085603016
2007-06-30,54.0,2.2727272727272707
2007-09-30,53.8,-0.37037037037037646
2007-12-31,50.1,-6.877323420074344
2008-03-31,49.7,-0.7984031936127733
2008-06-30,49.9,0.4024144869215096
2008-09-30,47.2,-5.4108216432865675
2008-12-31,34.5,-26.906779661016955
2009-03-31,37.2,7.826086956521738
2009-06-30,46.3,24.462365591397827
2009-09-30,54.9,18.574514038876888
2009-12-31,55.8,1.6393442622950838
2010-03-31,58.8,5.376344086021501
2010-06-30,56.5,-3.911564625850339
2010-09-30,55.3,-2.12389380530974
2010-12-31,56.6,2.350813743218816
2011-03-31,58.4,3.180212014134276
2011-06-30,55.8,-4.452054794520555
2011-09-30,53.7,-3.7634408602150393
2011-12-31,53.0,-1.3035381750465591
2012-03-31,53.5,0.9433962264151052
2012-06-30,49.5,-7.476635514018692
2012-09-30,50.8,2.626262626262621
2012-12-31,50.1,-1.3779527559054983
2013-03-31,51.9,3.592814371257469
2013-06-30,51.1,-1.541425818882458
2013-09-30,54.6,6.849315068493156
2013-12-31,56.5,3.4798534798534675
2014-03-31,55.9,-1.0619469026548645
2014-06-30,55.0,-1.610017889087656
2014-09-30,55.7,1.2727272727272698
2014-12-31,55.7,0.0
2015-03-31,52.1,-6.463195691202872
2015-06-30,52.5,0.7677543186180413
2015-09-30,50.1,-4.571428571428571
2015-12-31,48.7,-2.7944111776447067
2016-03-31,51.0,4.7227926078028615
2016-06-30,52.2,2.352941176470602
2016-09-30,51.1,-2.1072796934865967
2016-12-31,54.4,6.457925636007822
2017-03-31,56.5,3.860294117647056
2017-06-30,56.2,-0.5309734513274322
2017-09-30,60.0,6.761565836298922
2017-12-31,59.7,-0.5000000000000004
2018-03-31,58.8,-1.5075376884422176
2018-06-30,59.9,1.8707482993197244
2018-09-30,59.3,-1.00166944908181
2018-12-31,54.9,-7.4198988195615545
2019-03-31,54.9,0.0
2019-06-30,51.5,-6.193078324225865
2019-09-30,48.1,-6.601941747572814
2019-12-31,47.9,-0.4158004158004269
2020-03-31,49.0,2.2964509394572064
2020-06-30,52.6,7.346938775510203
2020-09-30,55.5,5.513307984790861
2020-12-31,60.2,8.46846846846847
2021-03-31,63.8,5.980066445182719
2021-06-30,61.3,-3.9184952978056464
2021-09-30,60.8,-0.815660685154973
2021-12-31,58.3,-4.111842105263152
2022-03-31,57.2,-1.8867924528301772
2022-06-30,53.5,-6.468531468531468
2022-09-30,51.1,-4.485981308411214
2022-12-31,48.0,-6.06653620352251
2023-03-31,46.3,-3.5416666666666763
2023-06-30,46.3,0.0
2023-09-30,48.9,5.615550755939536
2023-12-31,46.9,-4.089979550102251
2024-03-31,49.8,6.183368869936023
2024-06-30,48.3,-3.0120481927710885
2024-09-30,47.5,-1.65631469979296
2024-12-31,49.2,3.5789473684210593
2025-03-31,49.0,-0.40650406504065817
